"","x"
"1","Amblyomma americanum"
"2","Amblyomma americanum"
"3","Amblyomma americanum"
"4","Dermacentor variabilis"
"5","Amblyomma americanum"
"6","Dermacentor variabilis"
"7","Dermacentor variabilis"
"8","Dermacentor variabilis"
"9","Amblyomma americanum"
"10","Ixodes scapularis"
"11","Dermacentor variabilis"
"12","Dermacentor variabilis"
"13","Ixodes scapularis"
"14","Dermacentor variabilis"
"15","Amblyomma americanum"
"16","Ixodes scapularis"
"17","Amblyomma americanum"
"18","Amblyomma americanum"
"19","Ixodes scapularis"
"20","Ixodes scapularis"
"21","Ixodes scapularis"
"22","Ixodes scapularis"
"23","Amblyomma americanum"
"24","Dermacentor variabilis"
"25","Amblyomma americanum"
"26","Dermacentor variabilis"
"27","Ixodes scapularis"
"28","Dermacentor variabilis"
"29","Amblyomma americanum"
"30","Dermacentor variabilis"
"31","Ixodes scapularis"
"32","Amblyomma americanum"
"33","Amblyomma americanum"
"34","Ixodes scapularis"
"35","Amblyomma americanum"
"36","Dermacentor variabilis"
"37","Ixodes scapularis"
"38","Amblyomma americanum"
"39","Ixodes scapularis"
"40","Ixodes scapularis"
"41","Dermacentor variabilis"
"42","Amblyomma americanum"
"43","Amblyomma americanum"
"44","Ixodes scapularis"
"45","Amblyomma americanum"
"46","Ixodes scapularis"
"47","Amblyomma americanum"
"48","Dermacentor variabilis"
"49","Ixodes scapularis"
"50","Dermacentor variabilis"
"51","Ixodes scapularis"
"52","Ixodes scapularis"
"53","Amblyomma americanum"
"54","Ixodes scapularis"
"55","Dermacentor variabilis"
"56","Ixodes scapularis"
"57","Ixodes scapularis"
"58","Amblyomma americanum"
"59","Ixodes scapularis"
"60","Dermacentor variabilis"
"61","Ixodes scapularis"
"62","Amblyomma americanum"
"63","Ixodes scapularis"
"64","Amblyomma americanum"
"65","Dermacentor variabilis"
"66","Amblyomma americanum"
"67","Dermacentor variabilis"
"68","Dermacentor variabilis"
"69","Amblyomma americanum"
"70","Dermacentor variabilis"
"71","Dermacentor variabilis"
"72","Amblyomma americanum"
"73","Amblyomma americanum"
"74","Ixodes scapularis"
"75","Dermacentor variabilis"
"76","Dermacentor variabilis"
"77","Ixodes scapularis"
"78","Dermacentor variabilis"
"79","Ixodes scapularis"
"80","Ixodes scapularis"
"81","Dermacentor variabilis"
"82","Amblyomma americanum"
"83","Amblyomma americanum"
"84","Ixodes scapularis"
"85","Dermacentor variabilis"
"86","Ixodes scapularis"
"87","Dermacentor variabilis"
"88","Ixodes scapularis"
"89","Amblyomma americanum"
"90","Amblyomma americanum"
"91","Dermacentor variabilis"
"92","Amblyomma americanum"
"93","Ixodes scapularis"
"94","Dermacentor variabilis"
"95","Dermacentor variabilis"
"96","Amblyomma americanum"
"97","Dermacentor variabilis"
"98","Ixodes scapularis"
"99","Amblyomma americanum"
"100","Amblyomma americanum"
"101","Amblyomma americanum"
"102","Dermacentor variabilis"
"103","Dermacentor variabilis"
"104","Amblyomma americanum"
"105","Ixodes scapularis"
"106","Ixodes scapularis"
"107","Amblyomma americanum"
"108","Dermacentor variabilis"
"109","Dermacentor variabilis"
"110","Dermacentor variabilis"
"111","Dermacentor variabilis"
"112","Dermacentor variabilis"
"113","Dermacentor variabilis"
"114","Amblyomma americanum"
"115","Dermacentor variabilis"
"116","Ixodes scapularis"
"117","Dermacentor variabilis"
"118","Dermacentor variabilis"
"119","Dermacentor variabilis"
"120","Amblyomma americanum"
"121","Dermacentor variabilis"
"122","Amblyomma americanum"
"123","Dermacentor variabilis"
"124","Amblyomma americanum"
"125","Ixodes scapularis"
"126","Amblyomma americanum"
"127","Amblyomma americanum"
"128","Amblyomma americanum"
"129","Ixodes scapularis"
"130","Amblyomma americanum"
"131","Amblyomma americanum"
"132","Dermacentor variabilis"
"133","Dermacentor variabilis"
"134","Dermacentor variabilis"
"135","Amblyomma americanum"
"136","Amblyomma americanum"
"137","Amblyomma americanum"
"138","Dermacentor variabilis"
"139","Ixodes scapularis"
"140","Dermacentor variabilis"
"141","Ixodes scapularis"
